# l	i_l	j_l	b[l]
0	0	0	-10.000000
1	1	0	-10.000000
2	2	0	-10.000000
3	3	0	-10.000000
4	4	0	-10.000000
5	0	1	10.000000
6	1	1	0.000000
7	2	1	0.000000
8	3	1	0.000000
9	4	1	10.000000
10	0	2	10.000000
11	1	2	0.000000
12	2	2	0.000000
13	3	2	0.000000
14	4	2	10.000000
15	0	3	10.000000
16	1	3	0.000000
17	2	3	0.000000
18	3	3	0.000000
19	4	3	10.000000
20	0	4	-10.000000
21	1	4	-10.000000
22	2	4	-10.000000
23	3	4	-10.000000
24	4	4	10.000000


# k	a[k]
0	1.000000
1	1.000000
2	1.000000
3	1.000000
4	1.000000
5	1.000000
6	100.000000
7	100.000000
8	-400.000000
9	100.000000
10	100.000000
11	100.000000
12	100.000000
13	-400.000000
14	100.000000
15	100.000000
16	100.000000
17	100.000000
18	-400.000000
19	100.000000
20	100.000000
21	1.000000
22	1.000000
23	100.000000
24	100.000000
25	-400.000000
26	100.000000
27	100.000000
28	100.000000
29	100.000000
30	-400.000000
31	100.000000
32	100.000000
33	100.000000
34	100.000000
35	-400.000000
36	100.000000
37	100.000000
38	1.000000
39	1.000000
40	100.000000
41	100.000000
42	-400.000000
43	100.000000
44	100.000000
45	100.000000
46	100.000000
47	-400.000000
48	100.000000
49	100.000000
50	100.000000
51	100.000000
52	-400.000000
53	100.000000
54	100.000000
55	1.000000
56	1.000000
57	1.000000
58	1.000000
59	1.000000
60	1.000000
